Aspirin,Pain reliever,$10.99,https://en.wikipedia.org/wiki/Aspirin
Ibuprofen,Anti-inflammatory,$8.99,https://en.wikipedia.org/wiki/Ibuprofen
Paracetamol,Fever reducer,$7.49,https://en.wikipedia.org/wiki/Paracetamol
Amoxicillin,Antibiotic,$12.99,https://en.wikipedia.org/wiki/Amoxicillin
Omeprazole,Acid reflux medication,$9.99,https://en.wikipedia.org/wiki/Omeprazole
Atorvastatin,Cholesterol-lowering medication,$15.99,https://en.wikipedia.org/wiki/Atorvastatin
Lisinopril,Blood pressure medication,$14.49,https://en.wikipedia.org/wiki/Lisinopril
Metformin,Diabetes medication,$11.99,https://en.wikipedia.org/wiki/Metformin
Prednisone,Corticosteroid,$13.79,https://en.wikipedia.org/wiki/Prednisone
Ciprofloxacin,Antibiotic,$16.49,https://en.wikipedia.org/wiki/Ciprofloxacin
Gabapentin,Nerve pain medication,$17.99,https://en.wikipedia.org/wiki/Gabapentin
Alprazolam,Anxiety medication,$18.49,https://en.wikipedia.org/wiki/Alprazolam
Sertraline,Antidepressant,$19.99,https://en.wikipedia.org/wiki/Sertraline
Amlodipine,Blood pressure medication,$16.99,https://en.wikipedia.org/wiki/Amlodipine
Hydrochlorothiazide,Diuretic,$12.49,https://en.wikipedia.org/wiki/Hydrochlorothiazide
Levothyroxine,Thyroid medication,$10.49,https://en.wikipedia.org/wiki/Levothyroxine
Diazepam,Anxiety medication,$11.99,https://en.wikipedia.org/wiki/Diazepam
Warfarin,Blood thinner,$14.99,https://en.wikipedia.org/wiki/Warfarin
Fluoxetine,Antidepressant,$15.49,https://en.wikipedia.org/wiki/Fluoxetine
Tamsulosin,Prostate medication,$13.99,https://en.wikipedia.org/wiki/Tamsulosin
Pregabalin,Nerve pain medication,$16.99,https://en.wikipedia.org/wiki/Pregabalin
Metoprolol,Beta blocker,$11.49,https://en.wikipedia.org/wiki/Metoprolol
Budesonide,Asthma medication,$12.99,https://en.wikipedia.org/wiki/Budesonide
Clindamycin,Antibiotic,$18.49,https://en.wikipedia.org/wiki/Clindamycin
Cetirizine,Antihistamine,$9.99,https://en.wikipedia.org/wiki/Cetirizine
Doxycycline,Antibiotic,$13.99,https://en.wikipedia.org/wiki/Doxycycline
Bupropion,Smoking cessation aid,$15.99,https://en.wikipedia.org/wiki/Bupropion
Montelukast,Asthma medication,$14.49,https://en.wikipedia.org/wiki/Montelukast
Methylprednisolone,Corticosteroid,$17.49,https://en.wikipedia.org/wiki/Methylprednisolone
Ranitidine,Heartburn medication,$8.99,https://en.wikipedia.org/wiki/Ranitidine
