Arnica montana,For bruises and muscle soreness,$9.99,https://en.wikipedia.org/wiki/Arnica_montana
Belladonna,For fever and inflammation,$7.49,https://en.wikipedia.org/wiki/Belladonna
Calendula officinalis,For wound healing,$8.99,https://en.wikipedia.org/wiki/Calendula_officinalis
Chamomilla,For teething and irritability in children,$11.99,https://en.wikipedia.org/wiki/Chamomilla
Ignatia amara,For emotional distress and grief,$6.99,https://en.wikipedia.org/wiki/Ignatia_amara
Nux vomica,For digestive issues and hangover,$10.49,https://en.wikipedia.org/wiki/Nux_vomica
Pulsatilla,For respiratory and menstrual issues,$9.49,https://en.wikipedia.org/wiki/Pulsatilla
Rhus toxicodendron,For joint pain and stiffness,$8.99,https://en.wikipedia.org/wiki/Rhus_toxicodendron
Thuja occidentalis,For skin conditions and warts,$7.99,https://en.wikipedia.org/wiki/Thuja_occidentalis
Apis mellifica,For swelling and allergic reactions,$10.99,https://en.wikipedia.org/wiki/Apis_mellifica
Calcarea carbonica,For fatigue and bone health,$12.49,https://en.wikipedia.org/wiki/Calcarea_carbonica
Gelsemium sempervirens,For flu-like symptoms and anxiety,$9.99,https://en.wikipedia.org/wiki/Gelsemium_sempervirens
Hypericum perforatum,For nerve injuries and pain,$8.49,https://en.wikipedia.org/wiki/Hypericum_perforatum
Lycopodium clavatum,For digestive issues and low energy,$11.99,https://en.wikipedia.org/wiki/Lycopodium_clavatum
Natrum muriaticum,For emotional imbalance and headaches,$7.99,https://en.wikipedia.org/wiki/Natrum_muriaticum
Ruta graveolens,For tendonitis and eye strain,$9.49,https://en.wikipedia.org/wiki/Ruta_graveolens
Sulfur,For skin conditions and itching,$10.99,https://en.wikipedia.org/wiki/Sulfur_(homeopathy)
Sepia,For hormonal imbalance and mood swings,$12.99,https://en.wikipedia.org/wiki/Sepia_(homeopathy)
Symphytum officinale,For bone injuries and fractures,$8.99,https://en.wikipedia.org/wiki/Symphytum_officinale
